Epoch #92 | Train Average MSE: 0.1125 | Test Average MSE: 0.5532
Epoch #93 | Train Average MSE: 0.1026 | Test Average MSE: 0.5413
Epoch #94 | Train Average MSE: 0.1048 | Test Average MSE: 0.5401
Epoch #95 | Train Average MSE: 0.1048 | Test Average MSE: 0.5409
Epoch #96 | Train Average MSE: 0.1152 | Test Average MSE: 0.5546
Epoch #97 | Train Average MSE: 0.1153 | Test Average MSE: 0.5569
Epoch #98 | Train Average MSE: 0.1012 | Test Average MSE: 0.5501
Epoch #99 | Train Average MSE: 0.1174 | Test Average MSE: 0.5589
Epoch #100 | Train Average MSE: 0.0979 | Test Average MSE: 0.5726
Epoch #1 | Train Average MSE: 1.0115 | Test Average MSE: 0.9977
Epoch #2 | Train Average MSE: 0.9869 | Test Average MSE: 1.0457
Epoch #3 | Train Average MSE: 0.9724 | Test Average MSE: 1.0142
Epoch #4 | Train Average MSE: 0.9636 | Test Average MSE: 0.9499
Epoch #5 | Train Average MSE: 0.9567 | Test Average MSE: 0.9514
Epoch #6 | Train Average MSE: 0.9176 | Test Average MSE: 0.9328
Epoch #7 | Train Average MSE: 0.8999 | Test Average MSE: 0.9169
Epoch #8 | Train Average MSE: 0.8966 | Test Average MSE: 0.9284
Epoch #9 | Train Average MSE: 0.8739 | Test Average MSE: 0.9062
Epoch #10 | Train Average MSE: 0.8516 | Test Average MSE: 0.8876
Epoch #11 | Train Average MSE: 0.8689 | Test Average MSE: 0.8729
Epoch #12 | Train Average MSE: 0.8399 | Test Average MSE: 0.8600
Epoch #13 | Train Average MSE: 0.7802 | Test Average MSE: 0.7968
Epoch #14 | Train Average MSE: 0.8010 | Test Average MSE: 0.8144
Epoch #15 | Train Average MSE: 0.8043 | Test Average MSE: 0.8132
Epoch #16 | Train Average MSE: 0.7741 | Test Average MSE: 0.7907
Epoch #17 | Train Average MSE: 0.7417 | Test Average MSE: 0.7588
Epoch #18 | Train Average MSE: 0.7191 | Test Average MSE: 0.7545
